timestamp,power.draw,clocks.sm,clocks.mem,utilization.gpu,utilization.memory
2026/01/04 05:21:24.649,107.98,735,2619,0,0
2026/01/04 05:21:24.649,124.56,1980,2619,0,0
2026/01/04 05:21:24.649,114.22,1980,2619,0,0
2026/01/04 05:21:24.649,112.59,1980,2619,0,0
2026/01/04 05:21:24.649,125.14,1980,2619,0,0
2026/01/04 05:21:24.649,103.38,720,2619,0,0
2026/01/04 05:21:24.650,105.85,540,2619,0,0
2026/01/04 05:21:24.650,106.92,375,2619,0,0
2026/01/04 05:21:24.700,103.87,735,2619,0,0
2026/01/04 05:21:24.700,124.56,1980,2619,0,0
2026/01/04 05:21:24.700,114.22,1980,2619,0,0
2026/01/04 05:21:24.700,112.59,1980,2619,0,0
2026/01/04 05:21:24.700,125.14,1980,2619,0,0
2026/01/04 05:21:24.700,98.98,720,2619,0,0
2026/01/04 05:21:24.700,105.85,540,2619,0,0
2026/01/04 05:21:24.700,106.92,345,2619,0,0
2026/01/04 05:21:24.750,103.87,735,2619,0,0
2026/01/04 05:21:24.750,124.61,1980,2619,0,0
2026/01/04 05:21:24.750,114.22,1980,2619,0,0
2026/01/04 05:21:24.750,112.59,1980,2619,0,0
2026/01/04 05:21:24.750,125.13,1980,2619,0,0
2026/01/04 05:21:24.750,98.98,720,2619,0,0
2026/01/04 05:21:24.750,102.42,540,2619,0,0
2026/01/04 05:21:24.750,101.46,345,2619,0,0
2026/01/04 05:21:24.800,99.74,660,2619,0,0
2026/01/04 05:21:24.800,124.58,1980,2619,0,0
2026/01/04 05:21:24.800,114.24,1980,2619,0,0
2026/01/04 05:21:24.800,112.59,1980,2619,0,0
2026/01/04 05:21:24.800,125.13,1980,2619,0,0
2026/01/04 05:21:24.800,95.22,720,2619,0,0
2026/01/04 05:21:24.800,102.42,540,2619,0,0
2026/01/04 05:21:24.800,101.46,345,2619,0,0
2026/01/04 05:21:24.850,99.74,660,2619,0,0
2026/01/04 05:21:24.850,124.58,1980,2619,0,0
2026/01/04 05:21:24.850,114.24,1980,2619,0,0
2026/01/04 05:21:24.850,112.59,1980,2619,0,0
2026/01/04 05:21:24.850,125.13,1980,2619,0,0
2026/01/04 05:21:24.850,95.22,660,2619,0,0
2026/01/04 05:21:24.850,98.11,495,2619,0,0
2026/01/04 05:21:24.850,97.58,345,2619,0,0
2026/01/04 05:21:24.900,95.60,660,2619,0,0
2026/01/04 05:21:24.900,124.58,1980,2619,0,0
2026/01/04 05:21:24.900,114.22,1980,2619,0,0
2026/01/04 05:21:24.900,112.60,1980,2619,0,0
2026/01/04 05:21:24.900,125.13,1980,2619,0,0
2026/01/04 05:21:24.900,90.25,660,2619,0,0
2026/01/04 05:21:24.900,98.11,495,2619,0,0
2026/01/04 05:21:24.900,97.58,345,2619,0,0
2026/01/04 05:21:24.950,95.60,660,2619,0,0
2026/01/04 05:21:24.950,124.59,1980,2619,0,0
2026/01/04 05:21:24.950,114.22,1980,2619,0,0
2026/01/04 05:21:24.950,112.60,1980,2619,0,0
2026/01/04 05:21:24.950,125.13,1980,2619,0,0
2026/01/04 05:21:24.950,90.25,660,2619,0,0
2026/01/04 05:21:24.950,92.40,495,2619,0,0
2026/01/04 05:21:24.950,91.05,345,2619,0,0
2026/01/04 05:21:25.001,91.82,600,2619,0,0
2026/01/04 05:21:25.001,122.03,720,2619,0,0
2026/01/04 05:21:25.001,113.83,1980,2619,0,0
2026/01/04 05:21:25.001,112.60,690,2619,0,0
2026/01/04 05:21:25.001,125.13,1980,2619,0,0
2026/01/04 05:21:25.001,86.97,660,2619,0,0
2026/01/04 05:21:25.001,92.40,495,2619,0,0
2026/01/04 05:21:25.001,91.05,345,2619,0,0
2026/01/04 05:21:25.051,91.82,600,2619,0,0
2026/01/04 05:21:25.051,122.03,720,2619,0,0
2026/01/04 05:21:25.051,113.83,675,2619,0,0
2026/01/04 05:21:25.051,108.74,690,2619,0,0
2026/01/04 05:21:25.051,125.14,1980,2619,0,0
2026/01/04 05:21:25.051,86.97,600,2619,0,0
2026/01/04 05:21:25.051,87.99,450,2619,0,0
2026/01/04 05:21:25.051,91.05,345,2619,0,0
2026/01/04 05:21:25.101,86.43,555,2619,0,0
2026/01/04 05:21:25.101,122.03,720,2619,0,0
2026/01/04 05:21:25.101,109.87,675,2619,0,0
2026/01/04 05:21:25.101,108.74,690,2619,0,0
2026/01/04 05:21:25.101,125.14,1980,2619,0,0
2026/01/04 05:21:25.101,81.31,600,2619,0,0
2026/01/04 05:21:25.101,87.99,450,2619,0,0
2026/01/04 05:21:25.101,86.11,345,2619,0,0
2026/01/04 05:21:25.151,86.43,555,2619,0,0
2026/01/04 05:21:25.151,117.36,720,2619,0,0
2026/01/04 05:21:25.151,109.87,675,2619,0,0
2026/01/04 05:21:25.151,105.43,690,2619,0,0
2026/01/04 05:21:25.151,125.16,1980,2619,0,0
2026/01/04 05:21:25.151,81.31,600,2619,0,0
2026/01/04 05:21:25.151,83.54,450,2619,0,0
2026/01/04 05:21:25.151,86.11,345,2619,0,0
2026/01/04 05:21:25.201,82.23,555,2619,0,0
2026/01/04 05:21:25.201,117.36,660,2619,0,0
2026/01/04 05:21:25.201,105.72,675,2619,0,0
2026/01/04 05:21:25.201,105.43,630,2619,0,0
2026/01/04 05:21:25.201,125.16,1980,2619,0,0
2026/01/04 05:21:25.201,77.07,600,2619,0,0
2026/01/04 05:21:25.201,83.54,420,2619,0,0
2026/01/04 05:21:25.201,81.03,345,2619,0,0
2026/01/04 05:21:25.252,82.23,555,2619,0,0
2026/01/04 05:21:25.252,112.68,660,2619,0,0
2026/01/04 05:21:25.252,105.72,615,2619,0,0
2026/01/04 05:21:25.252,100.66,630,2619,0,0
2026/01/04 05:21:25.252,121.57,645,2619,0,0
2026/01/04 05:21:25.252,77.07,600,2619,0,0
2026/01/04 05:21:25.252,78.98,420,2619,0,0
2026/01/04 05:21:25.252,77.09,345,2619,0,0
2026/01/04 05:21:25.302,78.04,510,2619,0,0
2026/01/04 05:21:25.302,112.68,660,2619,0,0
2026/01/04 05:21:25.302,101.08,615,2619,0,0
2026/01/04 05:21:25.302,100.66,630,2619,0,0
2026/01/04 05:21:25.302,121.57,645,2619,0,0
2026/01/04 05:21:25.302,73.85,555,2619,0,0
2026/01/04 05:21:25.302,78.98,420,2619,0,0
2026/01/04 05:21:25.302,77.09,345,2619,0,0
2026/01/04 05:21:25.352,78.04,510,2619,0,0
2026/01/04 05:21:25.352,108.01,660,2619,0,0
2026/01/04 05:21:25.352,101.08,615,2619,0,0
2026/01/04 05:21:25.352,96.57,630,2619,0,0
2026/01/04 05:21:25.352,117.32,645,2619,0,0
2026/01/04 05:21:25.352,73.85,555,2619,0,0
2026/01/04 05:21:25.352,74.63,420,2619,0,0
2026/01/04 05:21:25.352,77.09,345,2619,0,0
2026/01/04 05:21:25.402,73.82,510,2619,0,0
