timestamp,power.draw,clocks.sm,clocks.mem,utilization.gpu,utilization.memory
2026/01/04 04:43:13.827,109.05,735,2619,0,0
2026/01/04 04:43:13.827,123.90,1980,2619,0,0
2026/01/04 04:43:13.827,115.83,1980,2619,0,0
2026/01/04 04:43:13.827,112.01,1980,2619,0,0
2026/01/04 04:43:13.827,125.09,1980,2619,0,0
2026/01/04 04:43:13.827,103.97,555,2619,0,0
2026/01/04 04:43:13.828,102.62,555,2619,0,0
2026/01/04 04:43:13.828,124.39,1980,2619,0,0
2026/01/04 04:43:13.878,104.93,735,2619,0,0
2026/01/04 04:43:13.878,123.90,1980,2619,0,0
2026/01/04 04:43:13.878,115.85,1980,2619,0,0
2026/01/04 04:43:13.878,112.03,1980,2619,0,0
2026/01/04 04:43:13.878,125.08,1980,2619,0,0
2026/01/04 04:43:13.878,103.97,555,2619,0,0
2026/01/04 04:43:13.878,102.62,555,2619,0,0
2026/01/04 04:43:13.878,124.39,1980,2619,0,0
2026/01/04 04:43:13.928,104.93,675,2619,0,0
2026/01/04 04:43:13.928,123.91,1980,2619,0,0
2026/01/04 04:43:13.928,115.85,1980,2619,0,0
2026/01/04 04:43:13.928,112.03,1980,2619,0,0
2026/01/04 04:43:13.928,125.08,1980,2619,0,0
2026/01/04 04:43:13.928,98.97,555,2619,0,0
2026/01/04 04:43:13.928,102.62,555,2619,0,0
2026/01/04 04:43:13.928,124.37,1980,2619,0,0
2026/01/04 04:43:13.978,100.24,675,2619,0,0
2026/01/04 04:43:13.978,123.92,1980,2619,0,0
2026/01/04 04:43:13.978,115.85,765,2619,0,0
2026/01/04 04:43:13.978,112.03,1980,2619,0,0
2026/01/04 04:43:13.978,125.08,1980,2619,0,0
2026/01/04 04:43:13.978,98.97,555,2619,0,0
2026/01/04 04:43:13.978,97.37,555,2619,0,0
2026/01/04 04:43:13.978,124.37,1980,2619,0,0
2026/01/04 04:43:14.028,100.24,675,2619,0,0
2026/01/04 04:43:14.028,123.92,1980,2619,0,0
2026/01/04 04:43:14.028,111.37,765,2619,0,0
2026/01/04 04:43:14.028,112.04,1980,2619,0,0
2026/01/04 04:43:14.028,125.07,1980,2619,0,0
2026/01/04 04:43:14.028,94.81,510,2619,0,0
