timestamp,power.draw,clocks.sm,clocks.mem,utilization.gpu,utilization.memory
2026/01/04 04:38:42.611,107.83,465,2619,0,0
2026/01/04 04:38:42.611,124.62,1980,2619,0,0
2026/01/04 04:38:42.611,114.70,1980,2619,0,0
2026/01/04 04:38:42.611,112.02,1980,2619,0,0
2026/01/04 04:38:42.611,125.65,1980,2619,0,0
2026/01/04 04:38:42.611,106.59,465,2619,0,0
2026/01/04 04:38:42.611,103.66,435,2619,0,0
2026/01/04 04:38:42.611,124.16,1980,2619,0,0
2026/01/04 04:38:42.661,107.83,465,2619,0,0
2026/01/04 04:38:42.661,124.60,1980,2619,0,0
2026/01/04 04:38:42.661,114.70,1980,2619,0,0
2026/01/04 04:38:42.661,111.98,1980,2619,0,0
2026/01/04 04:38:42.661,125.62,1980,2619,0,0
2026/01/04 04:38:42.661,101.79,465,2619,0,0
2026/01/04 04:38:42.661,103.66,435,2619,0,0
2026/01/04 04:38:42.661,124.16,1980,2619,0,0
2026/01/04 04:38:42.711,103.69,465,2619,0,0
2026/01/04 04:38:42.711,124.60,1980,2619,0,0
2026/01/04 04:38:42.711,114.70,1980,2619,0,0
2026/01/04 04:38:42.711,111.98,1980,2619,0,0
2026/01/04 04:38:42.712,125.62,1980,2619,0,0
2026/01/04 04:38:42.712,101.79,420,2619,0,0
2026/01/04 04:38:42.712,98.34,435,2619,0,0
2026/01/04 04:38:42.712,124.15,1980,2619,0,0
2026/01/04 04:38:42.762,103.69,465,2619,0,0
2026/01/04 04:38:42.762,124.60,1980,2619,0,0
2026/01/04 04:38:42.762,113.34,480,2619,0,0
2026/01/04 04:38:42.762,111.98,1980,2619,0,0
2026/01/04 04:38:42.762,125.62,1980,2619,0,0
2026/01/04 04:38:42.762,97.30,420,2619,0,0
2026/01/04 04:38:42.762,98.34,435,2619,0,0
2026/01/04 04:38:42.762,124.15,1980,2619,0,0
2026/01/04 04:38:42.812,98.43,420,2619,0,0
2026/01/04 04:38:42.812,124.60,1980,2619,0,0
2026/01/04 04:38:42.812,113.34,480,2619,0,0
2026/01/04 04:38:42.812,111.98,1980,2619,0,0
2026/01/04 04:38:42.812,125.62,1980,2619,0,0
2026/01/04 04:38:42.812,97.30,390,2619,0,0
2026/01/04 04:38:42.812,98.34,390,2619,0,0
2026/01/04 04:38:42.812,124.15,1980,2619,0,0
2026/01/04 04:38:42.862,98.43,420,2619,0,0
2026/01/04 04:38:42.862,123.04,465,2619,0,0
2026/01/04 04:38:42.862,109.15,480,2619,0,0
2026/01/04 04:38:42.862,112.01,1980,2619,0,0
2026/01/04 04:38:42.862,125.62,1980,2619,0,0
2026/01/04 04:38:42.862,93.01,390,2619,0,0
2026/01/04 04:38:42.862,93.89,390,2619,0,0
2026/01/04 04:38:42.862,124.15,1980,2619,0,0
2026/01/04 04:38:42.912,95.03,420,2619,0,0
2026/01/04 04:38:42.912,123.04,465,2619,0,0
2026/01/04 04:38:42.912,109.15,435,2619,0,0
2026/01/04 04:38:42.912,112.01,1980,2619,0,0
2026/01/04 04:38:42.912,125.62,1980,2619,0,0
2026/01/04 04:38:42.912,93.01,390,2619,0,0
2026/01/04 04:38:42.912,90.86,390,2619,0,0
2026/01/04 04:38:42.912,124.18,1980,2619,0,0
2026/01/04 04:38:42.962,95.03,420,2619,0,0
2026/01/04 04:38:42.962,117.32,465,2619,0,0
2026/01/04 04:38:42.962,104.28,435,2619,0,0
2026/01/04 04:38:42.962,108.65,450,2619,0,0
2026/01/04 04:38:42.962,125.62,1980,2619,0,0
2026/01/04 04:38:42.962,88.75,390,2619,0,0
2026/01/04 04:38:42.962,90.86,390,2619,0,0
2026/01/04 04:38:42.962,124.18,420,2619,0,0
2026/01/04 04:38:43.012,91.15,390,2619,0,0
2026/01/04 04:38:43.012,117.32,465,2619,0,0
2026/01/04 04:38:43.013,104.28,435,2619,0,0
2026/01/04 04:38:43.013,108.65,450,2619,0,0
2026/01/04 04:38:43.013,125.62,1980,2619,0,0
2026/01/04 04:38:43.013,88.75,345,2619,0,0
2026/01/04 04:38:43.013,84.96,360,2619,0,0
2026/01/04 04:38:43.013,121.35,420,2619,0,0
2026/01/04 04:38:43.063,91.15,390,2619,0,0
2026/01/04 04:38:43.063,113.48,435,2619,0,0
2026/01/04 04:38:43.063,100.95,435,2619,0,0
2026/01/04 04:38:43.063,104.59,450,2619,0,0
2026/01/04 04:38:43.063,124.82,465,2619,0,0
2026/01/04 04:38:43.063,84.49,345,2619,0,0
2026/01/04 04:38:43.063,84.96,360,2619,0,0
2026/01/04 04:38:43.063,121.35,420,2619,0,0
2026/01/04 04:38:43.113,91.15,345,2619,0,0
2026/01/04 04:38:43.113,113.48,435,2619,0,0
2026/01/04 04:38:43.113,100.95,405,2619,0,0
2026/01/04 04:38:43.113,104.59,450,2619,0,0
2026/01/04 04:38:43.113,124.82,465,2619,0,0
