timestamp,power.draw,clocks.sm,clocks.mem,utilization.gpu,utilization.memory
2026/01/04 04:33:47.809,111.77,1980,2619,0,0
2026/01/04 04:33:47.809,112.77,435,2619,0,0
2026/01/04 04:33:47.809,113.18,1980,2619,0,0
2026/01/04 04:33:47.809,106.68,465,2619,0,0
2026/01/04 04:33:47.809,122.64,480,2619,0,0
2026/01/04 04:33:47.809,114.30,1980,2619,0,0
2026/01/04 04:33:47.809,116.71,1980,2619,0,0
2026/01/04 04:33:47.809,121.24,405,2619,0,0
2026/01/04 04:33:47.859,111.76,1980,2619,0,0
2026/01/04 04:33:47.859,112.77,435,2619,0,0
2026/01/04 04:33:47.859,113.21,1980,2619,0,0
2026/01/04 04:33:47.859,102.52,465,2619,0,0
2026/01/04 04:33:47.859,122.64,480,2619,0,0
2026/01/04 04:33:47.859,114.29,1980,2619,0,0
2026/01/04 04:33:47.860,116.71,1980,2619,0,0
2026/01/04 04:33:47.860,115.49,405,2619,0,0
2026/01/04 04:33:47.910,111.76,1980,2619,0,0
2026/01/04 04:33:47.910,107.07,435,2619,0,0
2026/01/04 04:33:47.910,113.21,1980,2619,0,0
2026/01/04 04:33:47.910,102.52,465,2619,0,0
2026/01/04 04:33:47.910,117.42,465,2619,0,0
2026/01/04 04:33:47.910,114.29,1980,2619,0,0
2026/01/04 04:33:47.910,116.71,1980,2619,0,0
2026/01/04 04:33:47.910,115.49,405,2619,0,0
2026/01/04 04:33:47.960,111.75,1980,2619,0,0
2026/01/04 04:33:47.960,107.07,405,2619,0,0
2026/01/04 04:33:47.960,113.21,1980,2619,0,0
2026/01/04 04:33:47.960,98.61,420,2619,0,0
2026/01/04 04:33:47.960,117.42,465,2619,0,0
2026/01/04 04:33:47.960,114.29,1980,2619,0,0
2026/01/04 04:33:47.960,116.70,1980,2619,0,0
2026/01/04 04:33:47.960,110.66,375,2619,0,0
2026/01/04 04:33:48.010,111.75,1980,2619,0,0
2026/01/04 04:33:48.010,102.74,405,2619,0,0
2026/01/04 04:33:48.010,113.21,1980,2619,0,0
2026/01/04 04:33:48.010,98.61,420,2619,0,0
2026/01/04 04:33:48.010,117.42,420,2619,0,0
2026/01/04 04:33:48.010,114.27,1980,2619,0,0
2026/01/04 04:33:48.010,116.70,1980,2619,0,0
2026/01/04 04:33:48.010,110.66,375,2619,0,0
2026/01/04 04:33:48.060,111.72,1980,2619,0,0
2026/01/04 04:33:48.060,102.74,405,2619,0,0
2026/01/04 04:33:48.060,113.21,1980,2619,0,0
2026/01/04 04:33:48.060,98.61,420,2619,0,0
2026/01/04 04:33:48.060,113.10,420,2619,0,0
2026/01/04 04:33:48.060,114.27,1980,2619,0,0
2026/01/04 04:33:48.060,115.77,1980,2619,0,0
2026/01/04 04:33:48.060,105.14,375,2619,0,0
2026/01/04 04:33:48.110,111.72,1980,2619,0,0
2026/01/04 04:33:48.110,99.00,405,2619,0,0
2026/01/04 04:33:48.110,113.21,1980,2619,0,0
2026/01/04 04:33:48.110,93.35,420,2619,0,0
2026/01/04 04:33:48.110,108.77,420,2619,0,0
2026/01/04 04:33:48.110,113.95,1980,2619,0,0
2026/01/04 04:33:48.110,115.77,1980,2619,0,0
2026/01/04 04:33:48.110,105.14,375,2619,0,0
2026/01/04 04:33:48.160,111.73,1980,2619,0,0
2026/01/04 04:33:48.160,99.00,405,2619,0,0
2026/01/04 04:33:48.160,113.21,1980,2619,0,0
2026/01/04 04:33:48.160,93.35,375,2619,0,0
2026/01/04 04:33:48.160,108.77,420,2619,0,0
2026/01/04 04:33:48.160,109.94,465,2619,0,0
2026/01/04 04:33:48.161,111.44,465,2619,0,0
2026/01/04 04:33:48.161,101.35,345,2619,0,0
2026/01/04 04:33:48.211,111.73,450,2619,0,0
2026/01/04 04:33:48.211,93.75,375,2619,0,0
2026/01/04 04:33:48.211,113.21,1980,2619,0,0
2026/01/04 04:33:48.211,89.99,375,2619,0,0
2026/01/04 04:33:48.211,108.77,390,2619,0,0
2026/01/04 04:33:48.211,109.94,465,2619,0,0
2026/01/04 04:33:48.211,111.44,435,2619,0,0
2026/01/04 04:33:48.211,101.35,345,2619,0,0
2026/01/04 04:33:48.261,111.21,450,2619,0,0
2026/01/04 04:33:48.261,93.75,375,2619,0,0
2026/01/04 04:33:48.261,113.24,1980,2619,0,0
2026/01/04 04:33:48.261,89.99,375,2619,0,0
2026/01/04 04:33:48.261,103.94,390,2619,0,0
2026/01/04 04:33:48.261,105.79,435,2619,0,0
2026/01/04 04:33:48.261,106.25,435,2619,0,0
2026/01/04 04:33:48.261,95.65,345,2619,0,0
2026/01/04 04:33:48.311,111.21,450,2619,0,0
2026/01/04 04:33:48.311,88.73,375,2619,0,0
2026/01/04 04:33:48.311,113.24,1980,2619,0,0
2026/01/04 04:33:48.311,84.97,375,2619,0,0
2026/01/04 04:33:48.311,103.94,390,2619,0,0
2026/01/04 04:33:48.311,105.79,435,2619,0,0
2026/01/04 04:33:48.311,106.25,435,2619,0,0
2026/01/04 04:33:48.311,95.65,345,2619,0,0
2026/01/04 04:33:48.361,107.04,435,2619,0,0
2026/01/04 04:33:48.361,88.73,375,2619,0,0
2026/01/04 04:33:48.361,113.25,1980,2619,0,0
2026/01/04 04:33:48.361,84.97,345,2619,0,0
2026/01/04 04:33:48.361,99.17,390,2619,0,0
2026/01/04 04:33:48.361,105.79,435,2619,0,0
2026/01/04 04:33:48.361,102.75,435,2619,0,0
2026/01/04 04:33:48.361,91.79,345,2619,0,0
2026/01/04 04:33:48.411,107.04,435,2619,0,0
