timestamp,power.draw,clocks.sm,clocks.mem,utilization.gpu,utilization.memory
2026/01/04 04:03:21.087,111.97,1980,2619,0,0
2026/01/04 04:03:21.087,122.83,465,2619,0,0
2026/01/04 04:03:21.087,113.22,1980,2619,0,0
2026/01/04 04:03:21.087,111.98,1980,2619,0,0
2026/01/04 04:03:21.087,123.90,1980,2619,0,0
2026/01/04 04:03:21.087,114.91,1980,2619,0,0
2026/01/04 04:03:21.087,118.03,1980,2619,0,0
2026/01/04 04:03:21.088,123.18,1980,2619,0,0
2026/01/04 04:03:21.138,111.97,1980,2619,0,0
2026/01/04 04:03:21.138,117.18,465,2619,0,0
2026/01/04 04:03:21.138,113.22,1980,2619,0,0
2026/01/04 04:03:21.138,111.98,1980,2619,0,0
2026/01/04 04:03:21.138,123.91,1980,2619,0,0
2026/01/04 04:03:21.138,114.92,1980,2619,0,0
2026/01/04 04:03:21.138,118.03,1980,2619,0,0
2026/01/04 04:03:21.138,123.18,405,2619,0,0
2026/01/04 04:03:21.188,111.97,1980,2619,0,0
2026/01/04 04:03:21.188,117.18,435,2619,0,0
2026/01/04 04:03:21.188,113.25,1980,2619,0,0
2026/01/04 04:03:21.188,111.97,1980,2619,0,0
2026/01/04 04:03:21.188,123.91,465,2619,0,0
2026/01/04 04:03:21.188,114.92,1980,2619,0,0
2026/01/04 04:03:21.188,118.03,1980,2619,0,0
2026/01/04 04:03:21.188,118.53,405,2619,0,0
2026/01/04 04:03:21.238,111.98,1980,2619,0,0
2026/01/04 04:03:21.238,112.42,435,2619,0,0
2026/01/04 04:03:21.238,113.25,1980,2619,0,0
2026/01/04 04:03:21.238,111.97,1980,2619,0,0
2026/01/04 04:03:21.238,120.88,465,2619,0,0
2026/01/04 04:03:21.238,114.93,1980,2619,0,0
2026/01/04 04:03:21.238,118.05,1980,2619,0,0
2026/01/04 04:03:21.238,118.53,405,2619,0,0
2026/01/04 04:03:21.288,111.98,1980,2619,0,0
2026/01/04 04:03:21.288,112.42,435,2619,0,0
2026/01/04 04:03:21.288,113.25,1980,2619,0,0
2026/01/04 04:03:21.288,112.00,1980,2619,0,0
2026/01/04 04:03:21.288,120.88,450,2619,0,0
2026/01/04 04:03:21.288,114.93,1980,2619,0,0
2026/01/04 04:03:21.288,118.05,450,2619,0,0
2026/01/04 04:03:21.288,113.83,405,2619,0,0
2026/01/04 04:03:21.338,111.98,1980,2619,0,0
2026/01/04 04:03:21.338,107.95,435,2619,0,0
2026/01/04 04:03:21.338,113.25,1980,2619,0,0
2026/01/04 04:03:21.338,112.00,1980,2619,0,0
2026/01/04 04:03:21.338,115.84,450,2619,0,0
2026/01/04 04:03:21.338,112.30,465,2619,0,0
2026/01/04 04:03:21.338,113.04,450,2619,0,0
2026/01/04 04:03:21.338,113.83,405,2619,0,0
2026/01/04 04:03:21.389,111.98,1980,2619,0,0
2026/01/04 04:03:21.389,107.95,435,2619,0,0
2026/01/04 04:03:21.389,113.25,1980,2619,0,0
2026/01/04 04:03:21.389,112.00,1980,2619,0,0
2026/01/04 04:03:21.389,115.84,450,2619,0,0
2026/01/04 04:03:21.389,112.30,465,2619,0,0
2026/01/04 04:03:21.389,113.04,420,2619,0,0
2026/01/04 04:03:21.389,108.77,375,2619,0,0
2026/01/04 04:03:21.439,111.97,1980,2619,0,0
2026/01/04 04:03:21.439,101.89,405,2619,0,0
2026/01/04 04:03:21.439,113.25,1980,2619,0,0
2026/01/04 04:03:21.439,112.01,1980,2619,0,0
2026/01/04 04:03:21.439,112.24,405,2619,0,0
2026/01/04 04:03:21.439,108.01,435,2619,0,0
2026/01/04 04:03:21.439,109.45,420,2619,0,0
2026/01/04 04:03:21.439,108.77,375,2619,0,0
2026/01/04 04:03:21.489,111.97,1980,2619,0,0
2026/01/04 04:03:21.489,101.89,405,2619,0,0
2026/01/04 04:03:21.489,113.22,1980,2619,0,0
2026/01/04 04:03:21.489,112.00,1980,2619,0,0
2026/01/04 04:03:21.489,112.24,405,2619,0,0
2026/01/04 04:03:21.489,108.01,435,2619,0,0
2026/01/04 04:03:21.489,109.45,420,2619,0,0
2026/01/04 04:03:21.489,102.92,375,2619,0,0
2026/01/04 04:03:21.539,111.97,1980,2619,0,0
2026/01/04 04:03:21.539,98.08,405,2619,0,0
2026/01/04 04:03:21.539,113.22,1980,2619,0,0
2026/01/04 04:03:21.539,112.00,1980,2619,0,0
2026/01/04 04:03:21.539,107.05,405,2619,0,0
2026/01/04 04:03:21.539,104.58,435,2619,0,0
2026/01/04 04:03:21.539,104.04,420,2619,0,0
2026/01/04 04:03:21.539,102.92,375,2619,0,0
2026/01/04 04:03:21.589,111.97,1980,2619,0,0
2026/01/04 04:03:21.589,98.08,405,2619,0,0
2026/01/04 04:03:21.589,113.24,1980,2619,0,0
2026/01/04 04:03:21.589,112.00,1980,2619,0,0
2026/01/04 04:03:21.589,107.05,405,2619,0,0
2026/01/04 04:03:21.589,104.58,435,2619,0,0
2026/01/04 04:03:21.589,104.04,420,2619,0,0
2026/01/04 04:03:21.589,99.00,345,2619,0,0
2026/01/04 04:03:21.639,111.97,1980,2619,0,0
2026/01/04 04:03:21.639,93.85,360,2619,0,0
2026/01/04 04:03:21.639,113.24,450,2619,0,0
2026/01/04 04:03:21.639,111.99,1980,2619,0,0
2026/01/04 04:03:21.639,102.76,375,2619,0,0
2026/01/04 04:03:21.639,104.58,390,2619,0,0
2026/01/04 04:03:21.639,99.54,420,2619,0,0
2026/01/04 04:03:21.639,99.00,345,2619,0,0
2026/01/04 04:03:21.689,111.99,1980,2619,0,0
2026/01/04 04:03:21.689,93.85,360,2619,0,0
2026/01/04 04:03:21.690,110.46,450,2619,0,0
2026/01/04 04:03:21.690,112.00,1980,2619,0,0
2026/01/04 04:03:21.690,102.76,375,2619,0,0
2026/01/04 04:03:21.690,99.43,390,2619,0,0
2026/01/04 04:03:21.690,99.54,420,2619,0,0
2026/01/04 04:03:21.690,93.13,345,2619,0,0
2026/01/04 04:03:21.740,111.97,1980,2619,0,0
2026/01/04 04:03:21.740,89.15,345,2619,0,0
2026/01/04 04:03:21.740,110.46,450,2619,0,0
2026/01/04 04:03:21.740,112.00,1980,2619,0,0
2026/01/04 04:03:21.740,97.57,375,2619,0,0
2026/01/04 04:03:21.740,95.12,390,2619,0,0
2026/01/04 04:03:21.740,95.49,375,2619,0,0
2026/01/04 04:03:21.740,93.13,345,2619,0,0
2026/01/04 04:03:21.790,111.97,1980,2619,0,0
2026/01/04 04:03:21.790,89.15,345,2619,0,0
2026/01/04 04:03:21.790,107.06,435,2619,0,0
2026/01/04 04:03:21.790,112.00,450,2619,0,0
2026/01/04 04:03:21.790,97.57,375,2619,0,0
2026/01/04 04:03:21.790,95.12,390,2619,0,0
2026/01/04 04:03:21.790,95.49,375,2619,0,0
2026/01/04 04:03:21.790,88.22,345,2619,0,0
2026/01/04 04:03:21.840,111.18,435,2619,0,0
2026/01/04 04:03:21.840,82.66,345,2619,0,0
2026/01/04 04:03:21.840,107.06,435,2619,0,0
2026/01/04 04:03:21.840,109.05,450,2619,0,0
2026/01/04 04:03:21.840,97.57,345,2619,0,0
2026/01/04 04:03:21.840,90.80,360,2619,0,0
2026/01/04 04:03:21.840,89.57,375,2619,0,0
2026/01/04 04:03:21.840,88.22,345,2619,0,0
2026/01/04 04:03:21.890,111.18,435,2619,0,0
2026/01/04 04:03:21.890,82.66,345,2619,0,0
2026/01/04 04:03:21.890,102.06,405,2619,0,0
2026/01/04 04:03:21.890,109.05,450,2619,0,0
2026/01/04 04:03:21.890,93.22,345,2619,0,0
2026/01/04 04:03:21.890,90.80,360,2619,0,0
2026/01/04 04:03:21.890,89.57,375,2619,0,0
2026/01/04 04:03:21.890,84.28,345,2619,0,0
2026/01/04 04:03:21.940,111.18,420,2619,0,0
2026/01/04 04:03:21.940,78.74,345,2619,0,0
2026/01/04 04:03:21.940,102.06,405,2619,0,0
2026/01/04 04:03:21.940,104.11,450,2619,0,0
2026/01/04 04:03:21.940,93.22,345,2619,0,0
2026/01/04 04:03:21.940,90.80,360,2619,0,0
2026/01/04 04:03:21.940,86.58,345,2619,0,0
2026/01/04 04:03:21.940,84.28,345,2619,0,0
2026/01/04 04:03:21.990,106.14,420,2619,0,0
2026/01/04 04:03:21.991,78.74,345,2619,0,0
2026/01/04 04:03:21.991,98.70,405,2619,0,0
2026/01/04 04:03:21.991,104.11,405,2619,0,0
2026/01/04 04:03:21.991,89.57,345,2619,0,0
2026/01/04 04:03:21.991,86.17,360,2619,0,0
2026/01/04 04:03:21.991,86.58,345,2619,0,0
2026/01/04 04:03:21.991,78.41,345,2619,0,0
2026/01/04 04:03:22.041,106.14,420,2619,0,0
2026/01/04 04:03:22.041,75.87,345,2619,0,0
2026/01/04 04:03:22.041,98.70,405,2619,0,0
2026/01/04 04:03:22.041,99.74,405,2619,0,0
2026/01/04 04:03:22.041,89.57,345,2619,0,0
2026/01/04 04:03:22.041,82.13,345,2619,0,0
2026/01/04 04:03:22.041,80.51,345,2619,0,0
2026/01/04 04:03:22.041,78.41,345,2619,0,0
2026/01/04 04:03:22.091,101.86,420,2619,0,0
2026/01/04 04:03:22.091,75.87,345,2619,0,0
2026/01/04 04:03:22.091,93.66,360,2619,0,0
2026/01/04 04:03:22.091,99.74,405,2619,0,0
2026/01/04 04:03:22.091,85.32,345,2619,0,0
2026/01/04 04:03:22.091,82.13,345,2619,0,0
2026/01/04 04:03:22.091,80.51,345,2619,0,0
2026/01/04 04:03:22.091,74.52,345,2619,0,0
2026/01/04 04:03:22.141,97.61,375,2619,0,0
2026/01/04 04:03:22.141,75.80,345,2619,0,0
2026/01/04 04:03:22.141,93.66,360,2619,0,0
2026/01/04 04:03:22.141,96.33,405,2619,0,0
2026/01/04 04:03:22.141,80.80,345,2619,0,0
2026/01/04 04:03:22.141,82.13,345,2619,0,0
2026/01/04 04:03:22.141,77.67,345,2619,0,0
2026/01/04 04:03:22.141,74.52,345,2619,0,0
2026/01/04 04:03:22.191,97.61,375,2619,0,0
2026/01/04 04:03:22.191,75.80,345,2619,0,0
2026/01/04 04:03:22.191,89.46,360,2619,0,0
2026/01/04 04:03:22.191,96.33,375,2619,0,0
2026/01/04 04:03:22.191,80.80,345,2619,0,0
2026/01/04 04:03:22.191,76.91,345,2619,0,0
2026/01/04 04:03:22.191,77.67,345,2619,0,0
2026/01/04 04:03:22.191,74.41,345,2619,0,0
2026/01/04 04:03:22.241,97.61,375,2619,0,0
2026/01/04 04:03:22.241,75.72,345,2619,0,0
2026/01/04 04:03:22.241,89.46,360,2619,0,0
2026/01/04 04:03:22.241,91.62,375,2619,0,0
2026/01/04 04:03:22.241,80.80,345,2619,0,0
2026/01/04 04:03:22.241,76.91,345,2619,0,0
2026/01/04 04:03:22.241,72.92,345,2619,0,0
2026/01/04 04:03:22.241,74.41,345,2619,0,0
2026/01/04 04:03:22.292,93.32,375,2619,0,0
2026/01/04 04:03:22.292,75.72,345,2619,0,0
2026/01/04 04:03:22.292,85.27,345,2619,0,0
2026/01/04 04:03:22.292,91.62,375,2619,0,0
2026/01/04 04:03:22.292,80.66,345,2619,0,0
2026/01/04 04:03:22.292,72.55,345,2619,0,0
2026/01/04 04:03:22.292,72.92,345,2619,0,0
2026/01/04 04:03:22.292,74.39,345,2619,0,0
2026/01/04 04:03:22.342,93.32,345,2619,0,0
2026/01/04 04:03:22.342,75.68,345,2619,0,0
2026/01/04 04:03:22.342,85.27,345,2619,0,0
